,video name,,,,,,,,,,,,,,,,,,SUBJECTS' RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,Rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,group_disorder_298-4M.yuv,40,50,50,40,35,40,,36,,17,,30,,,20,25,11,58,8,10,,,,,,,,,,,,,,,,,,,,,31.3333333333333,,,,,,,,60,,29,,36,,13,65,,,,,,,,,,,,,,,,,,,,,,,,,
,group_disorder_298-7M.yuv,60,65,69,56,40,50,,50,,30,,45,,,23,35,15,46,15,35,,,,,,,,,,,,,,,,,,,,,42.2666666666667,,,,,,,,75,,36,,64,,32,70,,,,,,,,,,,,,,,,,,,,,,,,,
,group_disorder_298-8M.yuv,60,70,98,65,50,45,,58,,35,,40,,,26,30,17,62,13,30,,,,,,,,,,,,,,,,,,,,,46.6,,,,,,,,75,,36,,52,,28,55,,,,,,,,,,,,,,,,,,,,,,,,,
,group_disorder_298-12M.yuv,70,85,95,61,65,60,,74,,62,,60,,,54,45,20,84,48,50,,,,,,,,,,,,,,,,,,,,,62.2,,,,,,,,80,,53,,67,,38,75,,,,,,,,,,,,,,,,,,,,,,,,,
,group_disorder_298-16M.yuv,70,83,100,78,70,70,,88,,55,,65,,,64,55,32,78,52,50,,,,,,,,,,,,,,,,,,,,,67.3333333333333,,,,,,,,80,,54,,75,,46,75,,,,,,,,,,,,,,,,,,,,,,,,,
,group_disorder_298-20M.yuv,83,73,95,75,70,65,,85,,85,,70,,,60,65,24,78,70,60,,,,,,,,,,,,,,,,,,,,,70.5333333333333,,,,,,,,80,,80,,85,,50,60,,,,,,,,,,,,,,,,,,,,,,,,,
15,inside_marathon_250.yuv,,100,74,90,95,80,92,,86,83,70,,100,97,,80,95,80,80,70,,,,,,,,,,,,,,,,,,,,,85.75,,70,,,,,,,75,,,,65,,,64,,,,,,55,,,,,,,,,,,,,,,,,,
,inside_marathon_298-3M.yuv,,20,15,5,55,17,20,,15,7,40,,65,2,,29,10,20,21,35,,,,,,,,,,,,,,,,,,,,,23.5,,10,,,,,,,11,,,,30,,,13,,,,,,20,,,,,,,,,,,,,,,,,,
,inside_marathon_298-4M.yuv,,30,34,10,60,20,24,,25,17,50,,70,11,,24,20,20,26,39,,,,,,,,,,,,,,,,,,,,,30,,20,,,,,,,29,,,,55,,,23,,,,,,30,,,,,,,,,,,,,,,,,,
,inside_marathon_298-6M.yuv,,40,34,25,80,39,34,,30,41,56,,80,24,,36,40,20,40,44,,,,,,,,,,,,,,,,,,,,,41.4375,,60,,,,,,,20,,,,35,,,54,,,,,,40,,,,,,,,,,,,,,,,,,
,inside_marathon_298-8M.yuv,,55,49,30,90,39,45,,40,48,53,,90,37,,61,35,40,22,51,,,,,,,,,,,,,,,,,,,,,49.0625,,40,,,,,,,31,,,,35,,,78,,,,,,50,,,,,,,,,,,,,,,,,,
,inside_marathon_298-10M.yuv,,60,49,40,90,48,50,,55,53,60,,85,48,,55,65,60,52,55,,,,,,,,,,,,,,,,,,,,,57.8125,,60,,,,,,,74,,,,60,,,45,,,,,,50,,,,,,,,,,,,,,,,,,
,inside_marathon_298-14M.yuv,,70,55,55,95,58,67,,60,58,55,,90,63,,61,70,60,46,58,,,,,,,,,,,,,,,,,,,,,63.8125,,45,,,,,,,49,,,,45,,,49,,,,,,55,,,,,,,,,,,,,,,,,,
,inside_marathon_298-16M.yuv,,80,60,65,95,56,72,,69,77,65,,85,78,,77,80,60,38,66,,,,,,,,,,,,,,,,,,,,,70.1875,,60,,,,,,,31,,,,70,,,80,,,,,,74,,,,,,,,,,,,,,,,,,
16,mobcal.yuv,70,100,73,71,73,80,65,100,89,90,100,90,72,80,75,,75,,83,49,80,95,85,90,,,,,,,,,,,,,,,,,81.1363636363636,,,,,,,,,,,,,,,,,80,,60,,,,,,,,,,,,,,,,,,,,,
,mobcal-2_25M.yuv,50,50,6,23,29,40,30,60,10,5,20,50,16,5,10,,15,,65,10,4,10,25,26,,,,,,,,,,,,,,,,,25.4090909090909,,,,,,,,,,,,,,,,,20,,54,,,,,,,,,,,,,,,,,,,,,
,mobcal-2_5M.yuv,55,70,4,25,30,50,35,40,40,10,40,60,29,10,20,,15,,65,10,10,20,30,30,,,,,,,,,,,,,,,,,31.7272727272727,,,,,,,,,,,,,,,,,40,,58,,,,,,,,,,,,,,,,,,,,,
,mobcal-3_15M.yuv,60,70,8,33,47,65,30,40,55,50,40,60,36,20,23,,40,,80,40,20,40,36,35,,,,,,,,,,,,,,,,,42.1818181818182,,,,,,,,,,,,,,,,,60,,58,,,,,,,,,,,,,,,,,,,,,
,mobcal-4M.yuv,60,75,12,28,40,70,70,60,62,30,40,80,40,30,25,,50,,75,18,20,40,40,51,,,,,,,,,,,,,,,,,46.1818181818182,,,,,,,,,,,,,,,,,80,,48,,,,,,,,,,,,,,,,,,,,,
,mobcal-5M.yuv,55,80,18,40,45,70,78,60,71,79,60,90,50,50,40,,60,,90,51,40,60,39,50,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,60,,65,,,,,,,,,,,,,,,,,,,,,
,mobcal-7M.yuv,65,85,30,65,53,75,65,80,82,82,80,85,62,40,35,,60,,80,51,50,50,61,40,,,,,,,,,,,,,,,,,62.5454545454546,,,,,,,,,,,,,,,,,80,,60,,,,,,,,,,,,,,,,,,,,,
,mobcal-10M.yuv,65,90,36,59,70,75,82,80,81,70,80,85,74,60,45,,60,,75,60,60,75,70,70,,,,,,,,,,,,,,,,,69.1818181818182,,,,,,,,,,,,,,,,,100,,56,,,,,,,,,,,,,,,,,,,,,
17,new_parkrun_250.yuv,,98,76,79,100,60,78,,83,91,60,,97,99,,69,90,80,90,60,,,,,,,,,,,,,,,,,,,,,81.875,,70,,,,,,,53,,,,80,,,74,,,,,,80,,,,,,,,,,,,,,,,,,
,new_parkrun_298-2M.yuv,,20,15,5,65,20,35,,20,19,46,,75,8,,14,30,20,20,29,,,,,,,,,,,,,,,,,,,,,27.5625,,20,,,,,,,12,,,,20,,,18,,,,,,30,,,,,,,,,,,,,,,,,,
,new_parkrun_298-4M.yuv,,40,33,20,80,38,43,,30,32,53,,85,19,,35,35,20,25,34,,,,,,,,,,,,,,,,,,,,,38.875,,50,,,,,,,44,,,,40,,,50,,,,,,58,,,,,,,,,,,,,,,,,,
,new_parkrun_298-6M.yuv,,50,43,42,75,38,49,,40,39,49,,92,60,,34,65,40,30,43,,,,,,,,,,,,,,,,,,,,,49.3125,,40,,,,,,,25,,,,35,,,54,,,,,,50,,,,,,,,,,,,,,,,,,
,new_parkrun_298-8M.yuv,,75,59,35,85,35,65,,55,50,54,,90,33,,48,70,60,39,50,,,,,,,,,,,,,,,,,,,,,56.4375,,80,,,,,,,90,,,,80,,,76,,,,,,78,,,,,,,,,,,,,,,,,,
,new_parkrun_298-10M.yuv,,65,65,70,97,47,70,,60,83,60,,95,74,,61,80,60,69,78,,,,,,,,,,,,,,,,,,,,,70.875,,71,,,,,,,69,,,,80,,,55,,,,,,80,,,,,,,,,,,,,,,,,,
,new_parkrun_298-14M.yuv,,60,50,55,97,33,55,,71,68,57,,94,90,,45,70,40,52,83,,,,,,,,,,,,,,,,,,,,,63.75,,60,,,,,,,70,,,,65,,,60,,,,,,70,,,,,,,,,,,,,,,,,,
,new_parkrun_298-20M.yuv,,73,60,45,95,50,68,,50,74,59,,90,46,,61,80,40,53,54,,,,,,,,,,,,,,,,,,,,,62.375,,65,,,,,,,69,,,,75,,,70,,,,,,75,,,,,,,,,,,,,,,,,,
18,parkrun.yuv,80,95,57,73,69,90,82,100,92,75,100,90,68,85,72,,90,,80,69,80,95,76,92,,,,,,,,,,,,,,,,,82.2727272727273,,,,,,,,,,,,,,,,,40,,80,,,,,,,,,,,,,,,,,,,,,
,parkrun-8M.yuv,50,50,4,16,8,40,30,20,15,5,20,60,22,10,20,,15,,60,11,18,20,45,40,,,,,,,,,,,,,,,,,26.3181818181818,,,,,,,,,,,,,,,,,20,,32,,,,,,,,,,,,,,,,,,,,,
,parkrun-12M.yuv,55,65,8,30,8,55,35,40,34,20,20,70,29,20,23,,50,,56,20,20,30,40,45,,,,,,,,,,,,,,,,,35.1363636363636,,,,,,,,,,,,,,,,,20,,40,,,,,,,,,,,,,,,,,,,,,
,parkrun-16M.yuv,60,70,10,34,32,65,80,40,55,29,60,70,25,40,40,,40,,75,44,30,40,46,54,,,,,,,,,,,,,,,,,47.2272727272727,,,,,,,,,,,,,,,,,20,,35,,,,,,,,,,,,,,,,,,,,,
,parkrun-18M.yuv,65,75,13,38,35,65,78,60,59,44,60,80,60,50,80,,50,,75,31,52,40,50,60,,,,,,,,,,,,,,,,,55.4545454545455,,,,,,,,,,,,,,,,,20,,54,,,,,,,,,,,,,,,,,,,,,
,parkrun-20M.yuv,67,80,16,39,29,70,65,80,49,90,80,80,38,55,47,,60,,60,46,48,40,44,65,,,,,,,,,,,,,,,,,56.7272727272727,,,,,,,,,,,,,,,,,40,,40,,,,,,,,,,,,,,,,,,,,,
,parkrun-24M.yuv,67,80,19,57,52,70,78,60,81,60,60,90,50,60,30,,65,,80,70,58,75,55,90,,,,,,,,,,,,,,,,,63.9545454545455,,,,,,,,,,,,,,,,,40,,42,,,,,,,,,,,,,,,,,,,,,
,parkrun-28M.yuv,70,85,21,59,50,80,80,60,91,50,100,90,80,70,34,,75,,78,66,70,80,61,70,,,,,,,,,,,,,,,,,69.0909090909091,,,,,,,,,,,,,,,,,40,,60,,,,,,,,,,,,,,,,,,,,,
19,rendezvous_250.yuv,87,80,95,78,80,90,,100,,98,,85,,,70,70,66,92,70,90,,,,,,,,,,,,,,,,,,,,,83.4,,,,,,,,90,,89,,78,,74,70,,,,,,,,,,,,,,,,,,,,,,,,,
,rendezvous_298-4M.yuv,25,30,1,29,10,5,,0,,2,,5,,,5,0,5,10,8,0,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,55,,10,,10,,6,30,,,,,,,,,,,,,,,,,,,,,,,,,
,rendezvous_298-6M.yuv,30,35,10,36,25,20,,10,,8,,15,,,12,10,12,20,10,5,,,,,,,,,,,,,,,,,,,,,17.2,,,,,,,,60,,11,,4,,8,35,,,,,,,,,,,,,,,,,,,,,,,,,
,rendezvous_298-8M.yuv,35,43,90,47,30,25,,20,,18,,40,,,15,30,7,45,15,20,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,70,,16,,38,,51,65,,,,,,,,,,,,,,,,,,,,,,,,,
,rendezvous_298-10M.yuv,59,37,50,51,40,35,,25,,30,,40,,,18,20,20,45,25,20,,,,,,,,,,,,,,,,,,,,,34.3333333333333,,,,,,,,80,,30,,29,,20,40,,,,,,,,,,,,,,,,,,,,,,,,,
,rendezvous_298-14M.yuv,64,45,60,57,40,44,,40,,42,,60,,,41,40,29,50,30,40,,,,,,,,,,,,,,,,,,,,,45.4666666666667,,,,,,,,80,,32,,43,,50,60,,,,,,,,,,,,,,,,,,,,,,,,,
,rendezvous_298-18M.yuv,75,55,100,68,50,45,,69,,65,,65,,,34,45,30,62,35,50,,,,,,,,,,,,,,,,,,,,,56.5333333333333,,,,,,,,80,,40,,55,,62,70,,,,,,,,,,,,,,,,,,,,,,,,,
,rendezvous_298-24M.yuv,80,73,100,88,75,75,,70,,87,,85,,,66,50,51,70,40,70,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,90,,80,,64,,40,60,,,,,,,,,,,,,,,,,,,,,,,,,
20,shields.yuv,65,80,62,77,63,90,80,60,90,89,100,80,48,87,57,,85,,90,59,80,95,75,93,,,,,,,,,,,,,,,,,77.5,,,,,,,,,,,,,,,,,60,,45,,,,,,,,,,,,,,,,,,,,,
,shields-2_25M.yuv,55,60,2,16,12,50,39,20,5,6,20,50,11,10,10,,35,,55,10,8,20,36,50,,,,,,,,,,,,,,,,,26.3636363636364,,,,,,,,,,,,,,,,,20,,45,,,,,,,,,,,,,,,,,,,,,
,shields-3M.yuv,60,70,8,26,27,60,30,40,10,20,40,60,25,20,18,,40,,70,19,4,20,41,55,,,,,,,,,,,,,,,,,34.6818181818182,,,,,,,,,,,,,,,,,40,,28,,,,,,,,,,,,,,,,,,,,,
,shields-4M.yuv,75,70,18,33,18,65,33,80,16,36,60,70,61,20,15,,55,,60,20,18,35,39,60,,,,,,,,,,,,,,,,,43.5,,,,,,,,,,,,,,,,,40,,50,,,,,,,,,,,,,,,,,,,,,
,shields-5M.yuv,62,70,22,35,31,75,54,80,24,33,80,75,83,30,25,,60,,72,20,30,35,41,70,,,,,,,,,,,,,,,,,50.3181818181818,,,,,,,,,,,,,,,,,40,,50,,,,,,,,,,,,,,,,,,,,,
,shields-6M.yuv,78,80,38,36,29,85,72,100,62,10,80,85,67,40,45,,60,,90,20,25,55,45,75,,,,,,,,,,,,,,,,,58.0454545454546,,,,,,,,,,,,,,,,,40,,43,,,,,,,,,,,,,,,,,,,,,
,shields-7M.yuv,78,80,31,47,42,85,75,80,77,60,80,80,29,60,46,,75,,95,74,38,70,50,80,,,,,,,,,,,,,,,,,65.0909090909091,,,,,,,,,,,,,,,,,40,,30,,,,,,,,,,,,,,,,,,,,,
,shields-8M.yuv,63,80,27,66,36,85,80,100,68,71,80,80,42,60,70,,65,,90,32,58,60,50,75,,,,,,,,,,,,,,,,,65.3636363636364,,,,,,,,,,,,,,,,,20,,60,,,,,,,,,,,,,,,,,,,,,
21,stockholm_travel_250.yuv,,100,86,77,95,50,78,,80,82,57,,97,100,,79,80,80,64,74,,,,,,,,,,,,,,,,,,,,,79.9375,,80,,,,,,,50,,,,85,,,83,,,,,,60,,,,,,,,,,,,,,,,,,
,stockholm_travel_298-1M.yuv,,20,23,5,60,32,34,,9,12,43,,55,5,,16,5,20,10,30,,,,,,,,,,,,,,,,,,,,,23.6875,,20,,,,,,,10,,,,20,,,18,,,,,,20,,,,,,,,,,,,,,,,,,
,stockholm_travel_298-4M.yuv,,50,51,66,70,37,56,,30,42,50,,90,22,,38,40,40,32,40,,,,,,,,,,,,,,,,,,,,,47.125,,40,,,,,,,29,,,,30,,,42,,,,,,58,,,,,,,,,,,,,,,,,,
,stockholm_travel_298-6M.yuv,,65,50,53,85,42,64,,40,61,55,,92,62,,55,75,60,57,68,,,,,,,,,,,,,,,,,,,,,61.5,,80,,,,,,,51,,,,70,,,60,,,,,,75,,,,,,,,,,,,,,,,,,
,stockholm_travel_298-8M.yuv,,62,59,58,90,43,67,,33,52,56,,91,92,,44,60,40,86,43,,,,,,,,,,,,,,,,,,,,,61,,71,,,,,,,46,,,,55,,,64,,,,,,62,,,,,,,,,,,,,,,,,,
,stockholm_travel_298-10M.yuv,,70,62,60,90,56,53,,60,63,63,,96,51,,60,80,60,36,67,,,,,,,,,,,,,,,,,,,,,64.1875,,90,,,,,,,65,,,,80,,,69,,,,,,80,,,,,,,,,,,,,,,,,,
,stockholm_travel_298-16M.yuv,,75,44,55,85,56,60,,44,74,55,,94,37,,75,60,80,70,46,,,,,,,,,,,,,,,,,,,,,63.125,,50,,,,,,,45,,,,50,,,77,,,,,,70,,,,,,,,,,,,,,,,,,
,stockholm_travel_298-20M.yuv,,90,70,65,90,45,75,,46,79,62,,95,85,,57,85,60,62,65,,,,,,,,,,,,,,,,,,,,,70.6875,,60,,,,,,,70,,,,75,,,49,,,,,,90,,,,,,,,,,,,,,,,,,
22,stockholm.yuv,80,90,64,69,81,85,85,80,92,92,100,90,70,80,40,,85,,95,72,80,95,78,93,,,,,,,,,,,,,,,,,81.6363636363636,,,,,,,,,,,,,,,,,60,,55,,,,,,,,,,,,,,,,,,,,,
,stockholm-1_625M.yuv,60,70,5,14,25,50,67,20,17,6,60,50,21,10,10,,40,,75,10,6,30,36,55,,,,,,,,,,,,,,,,,33.5,,,,,,,,,,,,,,,,,40,,40,,,,,,,,,,,,,,,,,,,,,
,stockholm-1_875M.yuv,65,70,7,24,24,60,30,40,7,5,60,50,14,20,30,,45,,72,10,18,40,40,65,,,,,,,,,,,,,,,,,36.1818181818182,,,,,,,,,,,,,,,,,40,,29,,,,,,,,,,,,,,,,,,,,,
,stockholm-2_25M.yuv,67,70,12,23,24,60,65,40,17,28,60,70,22,30,37,,45,,80,35,32,40,41,70,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,40,,30,,,,,,,,,,,,,,,,,,,,,
,stockholm-3M.yuv,77,80,18,42,44,65,70,60,37,67,80,85,56,35,39,,50,,79,15,50,50,42,65,,,,,,,,,,,,,,,,,54.8181818181818,,,,,,,,,,,,,,,,,40,,50,,,,,,,,,,,,,,,,,,,,,
,stockholm-3_6M.yuv,78,90,26,49,51,75,69,60,42,60,80,80,62,40,53,,60,,79,29,55,60,43,75,,,,,,,,,,,,,,,,,59.8181818181818,,,,,,,,,,,,,,,,,40,,40,,,,,,,,,,,,,,,,,,,,,
,stockholm-4M.yuv,78,80,33,47,66,75,73,60,69,90,80,70,89,50,80,,75,,91,51,60,55,65,70,,,,,,,,,,,,,,,,,68.5,,,,,,,,,,,,,,,,,60,,70,,,,,,,,,,,,,,,,,,,,,
,stockholm-6M.yuv,79,90,43,52,64,75,78,80,73,84,80,90,64,60,86,,65,,92,51,72,65,60,75,,,,,,,,,,,,,,,,,71.7272727272727,,,,,,,,,,,,,,,,,80,,75,,,,,,,,,,,,,,,,,,,,,
23,tree_pan_250.yuv,,95,61,80,100,60,81,,75,88,63,,97,98,,79,90,60,91,83,,,,,,,,,,,,,,,,,,,,,81.3125,,85,,,,,,,90,,,,80,,,69,,,,,,90,,,,,,,,,,,,,,,,,,
,tree_pan_298-1_25M.yuv,,10,20,20,40,23,25,,20,7,45,,65,3,,6,10,20,5,35,,,,,,,,,,,,,,,,,,,,,22.125,,20,,,,,,,10,,,,15,,,12,,,,,,25,,,,,,,,,,,,,,,,,,
,tree_pan_298-1_5M.yuv,,40,42,25,65,27,31,,30,16,52,,75,12,,26,20,20,11,38,,,,,,,,,,,,,,,,,,,,,33.125,,26,,,,,,,25,,,,35,,,29,,,,,,45,,,,,,,,,,,,,,,,,,
,tree_pan_298-2M.yuv,,50,42,40,65,34,45,,40,35,54,,80,18,,28,30,40,24,40,,,,,,,,,,,,,,,,,,,,,41.5625,,31,,,,,,,29,,,,40,,,34,,,,,,50,,,,,,,,,,,,,,,,,,
,tree_pan_298-2_5M.yuv,,57,39,45,70,31,49,,60,45,51,,80,31,,28,40,40,14,45,,,,,,,,,,,,,,,,,,,,,45.3125,,40,,,,,,,30,,,,30,,,38,,,,,,70,,,,,,,,,,,,,,,,,,
,tree_pan_298-3M.yuv,,60,39,58,70,33,53,,66,54,49,,90,39,,30,55,60,19,50,,,,,,,,,,,,,,,,,,,,,51.5625,,60,,,,,,,27,,,,55,,,51,,,,,,65,,,,,,,,,,,,,,,,,,
,tree_pan_298-5M.yuv,,90,51,68,95,57,69,,69,75,61,,90,64,,86,80,80,67,78,,,,,,,,,,,,,,,,,,,,,73.75,,68,,,,,,,60,,,,65,,,80,,,,,,80,,,,,,,,,,,,,,,,,,
,tree_pan_298-8M.yuv,,87,67,67,100,52,74,,71,83,57,,95,45,,81,70,60,50,75,,,,,,,,,,,,,,,,,,,,,70.875,,83,,,,,,,70,,,,70,,,68,,,,,,82,,,,,,,,,,,,,,,,,,
24,ulriksdals_250.yuv,85,95,100,70,90,95,,94,,99,,80,,,70,80,85,79,70,90,,,,,,,,,,,,,,,,,,,,,85.4666666666667,,,,,,,,100,,93,,50,,85,90,,,,,,,,,,,,,,,,,,,,,,,,,
,ulriksdals_298-1M.yuv,40,30,10,19,30,15,,0,,5,,5,,,6,10,5,40,7,0,,,,,,,,,,,,,,,,,,,,,14.8,,,,,,,,50,,8,,13,,10,40,,,,,,,,,,,,,,,,,,,,,,,,,
,ulriksdals_298-2M.yuv,59,45,49,37,45,25,,30,,22,,30,,,9,20,11,50,10,5,,,,,,,,,,,,,,,,,,,,,29.8,,,,,,,,75,,24,,29,,6,50,,,,,,,,,,,,,,,,,,,,,,,,,
,ulriksdals_298-4M.yuv,59,50,71,60,55,40,,34,,36,,40,,,42,30,19,65,30,20,,,,,,,,,,,,,,,,,,,,,43.4,,,,,,,,75,,36,,56,,10,65,,,,,,,,,,,,,,,,,,,,,,,,,
,ulriksdals_298-6M.yuv,77,65,90,57,80,45,,69,,55,,65,,,47,40,29,65,35,50,,,,,,,,,,,,,,,,,,,,,57.9333333333333,,,,,,,,85,,70,,65,,18,82,,,,,,,,,,,,,,,,,,,,,,,,,
,ulriksdals_298-8M.yuv,75,63,80,65,75,50,,59,,44,,50,,,24,45,38,60,42,45,,,,,,,,,,,,,,,,,,,,,54.3333333333333,,,,,,,,80,,49,,45,,20,70,,,,,,,,,,,,,,,,,,,,,,,,,
,ulriksdals_298-12M.yuv,80,58,91,54,65,57,,51,,62,,50,,,38,35,27,71,38,40,,,,,,,,,,,,,,,,,,,,,54.4666666666667,,,,,,,,85,,77,,47,,14,80,,,,,,,,,,,,,,,,,,,,,,,,,
,ulriksdals_298-16M.yuv,90,82,98,74,85,70,,88,,92,,80,,,63,65,50,70,50,80,,,,,,,,,,,,,,,,,,,,,75.8,,,,,,,,90,,80,,78,,40,85,,,,,,,,,,,,,,,,,,,,,,,,,
